department,question
processing,"4.     Decrease the maintainability of existing plant, equipment and/ or infrastructure?"
processing,"5.     Decrease the operability of existing plant, equipment and/ or infrastructure?"
processing,6.     Influence and/ or need to be considered in production planning?
processing,7.     Include a post commissioning review planned after implementation?
processing,8.     Require setting of associated operational boundaries and/ or limits and can they be easily adhered to?
processing,9.     Affect tailing storage facility management?
processing,"10.   Affect cyanide management, including transport, storage and/ or use?"
processing,11.   Affect the availability of overhead crane and/ or other specialty equipment?
processing,12.   Affect mill circuit power and/ throughput?
processing,13.   Affect mill circuit configuration including optimizations of mine to mill processes?
processing,"14.   Affect mineralogy control including grind, recovery and feed relationships?"
processing,15.   Affect process control including equipment/ plant failure minimizations?
processing,16.   Affect isolation permit requirements or any other workplace interruptions?
hr,1.     Affect employee moral and morale?
hr,2.     Affect employee welfare?
hr,3.     Require employee consultation and cooperation?
hr,4.     Affect the implementation of the labour and/ or other laws/ regulations?
hr,5.     Affect current documented policies and procedures?
hr,6.     Affect current budget/ resources available for managing the human resource?
security,1.     Affects compliance with the Nzema Gold Operations Gold Security Standards?
security,2.     Affects compliance with the Nzema Gold Operations Fuel Security Standards?
security,3.     Affects compliance with the Nzema Gold Operations Explosives Security Standards?
security,4.     Affects compliance with the Nzema Gold Operations Security Policies?
security,5.     Affects compliance with the voluntary principles of security and human rights?
security,6.     Create opportunities for illegal mining?
security,7.     Create opportunities for trespassing?
security,8.     Facilitate theft?
security,9.     Create opportunities for fraud?
security,10.   Require exemption from any Nzema Gold Operations Security Standard?
security,11.   Require changes to any existing security process?
security,12.   Require changes to any existing security procedure?
security,13.   Require changes to any existing security plan?
security,14.   Require additional security staff?
security,15.   Require additional security equipment?
security,16.   Require changes to security perimeter fencing?
security,17.   Require new fencing?
security,18.   Require changes to or a new access gates?
security,19.   Require additional CCTV monitoring equipment?
security,20.   Require additional Access Control equipment?
security,21.   Require additional Intrusion Alarm equipment?
security,22.   Require additional lighting?
finance,1.     Affect any general ledger accounts?
finance,"2.     Affect IT financial systems i.e. SUN, PRONTO etc?"
finance,3.     Be driven by an external financial regulation?
finance,4.     Affects compliance with Persol requirements?
finance,5.     Affects internal controls over financial reporting?
finance,6.     Affects finance business process standards?
finance,"7.     Affects budgets, forecasts or life of mine plan?"
finance,8.     Require additional financial/ accounting resources or relocation of existing financial/ accounting resources?
finance,"9.     Affects financial KPIs such as cash cost, profit-before- tax, etc?"
finance,10.   Affect key external/ internal financial reporting dates and milestones?
finance,"11.   Lead to risk of fraud or error in financial statements, amounts and assumptions?"
finance,12.   Require additional/ new training on financial/ accounting concepts?
finance,13.   Be driven by a recent financial audit (internal/ external)
finance,"14.   Affect finance/ accounting roles and responsibilities, job descriptions, etc.?"
finance,15.   Lead to changes in chart of accounts mapping?
finance,16.   Require reporting change to insurer?
finance,17.   Affect property insurance coverage?
finance,18.   Affect policy limits/ sub-limits?
finance,19.   Affect deductibles/ retentions?
finance,20.   Affect insurance premiums?
finance,21.   Affect regional insurance cost?
finance,22.   Affect global insurance cost?
finance,23.   Require follow-up with mine site?
finance,24.   Affect fire protection equipment/ overall system?
finance,25.   Affect corporate/ regional/ mine site liability?
finance,"26.   Affect any global insurance policy (crime, liability, marine cargo, etc)"
it,1.     Require additional IT software?
it,2.     Require additional IT hardware?
it,3.     Affect network transmission?
it,4.     Require additional backup system?
it,5.     Affect the server capacity?
it,6.     Affect any external licensing?
it,7.     Require training of personnel?
it,8.     Affect the transmitting bandwidth?
geology,"1.     Affect vehicle availability, productivity and/ or performance?"
geology,"2.     Affect drill availability, productivity and/ or performance?"
geology,3.     Affect personnel availability and/ or productivity?
geology,4.     Affect equipment/ vehicle interaction?
geology,5.     Affect part of equipment longevity?
geology,6.     Cause an increase in consumable use and/ or costs?
geology,7.     Affect current emergency response/ contingency plan?
geology,8.     Affect drill pad construction or design?
geology,9.     Affect use of major equipment?
geology,10.   Affect core logging activities?
geology,11.   Affect mapping activities?
geology,12.   Affect or require updates to any drawings and/ or plans or other controlled documents?
geology,13.   Require added training of affected personnel?
geology,14.   Require isolation permit requirements or any other workplace interruptions?
geology,15.   Affect contracted personnel currently employed?
